player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0026189,D.Jackson,LA,2021,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,39,0,0,-0.521283270791173,0,0,0.024390243902439025,0.10182767624020887,0.10786473922180474,0,0,0
00-0026197,C.Henne,KC,2021,7,REG,11,16,82,0,0,0,-0,0,0,125,24,6,4.047984530450776,0,0.656,0.14622102327296962,1,4,0,0,0,0,0.1257549786241725,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,3.68,3.68
00-0026300,J.Johnson,NYJ,2021,8,REG,2,4,17,0,0,0,-0,0,0,6,15,1,-1.3434380979055862,0,2.8333333333333335,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.68,0.68
00-0026498,M.Stafford,LA,2021,1,REG,20,26,321,3,0,1,9,0,0,228,140,13,18.84857658925403,0,1.4078947368421053,0.28243130481393597,5,-5,0,0,0,0,-4.942732217314187,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,24.34,24.34
00-0026498,M.Stafford,LA,2021,2,REG,19,30,278,2,1,1,8,0,0,218,152,15,11.933595880489166,0,1.275229357798165,0.14365621721858698,2,1,0,0,0,0,-0.8767611593939364,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.220000000000002,17.220000000000002
00-0026498,M.Stafford,LA,2021,3,REG,27,38,343,4,0,1,12,0,0,359,178,16,17.668762146550243,0,0.9554317548746518,0.20946177815944136,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,29.52,29.52
00-0026498,M.Stafford,LA,2021,4,REG,26,41,280,2,1,0,-0,0,0,354,107,13,2.385245099936606,0,0.7909604519774012,0.07375812547305646,6,21,0,0,0,3,1.8299021011334844,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,19.300000000000004,19.300000000000004
00-0026498,M.Stafford,LA,2021,5,REG,25,37,365,1,1,1,7,0,0,469,117,16,14.05562873519375,0,0.7782515991471215,0.238436691792868,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,16.5,16.5
00-0026498,M.Stafford,LA,2021,6,REG,22,28,251,4,1,2,17,1,0,216,113,15,18.572176583315013,0,1.162037037037037,0.3045620469524839,2,12,0,0,0,1,0.11917763308156282,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,25.24,25.24
00-0026498,M.Stafford,LA,2021,7,REG,28,41,334,3,0,1,7,0,0,383,139,17,14.038598226720238,1,0.8720626631853786,0.1909565446337152,2,-2,0,0,0,0,-1.56785641919123,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,27.16,27.16
00-0026498,M.Stafford,LA,2021,8,REG,21,32,305,3,0,0,-0,0,0,218,135,16,16.18919793784235,0,1.3990825688073394,0.22771358874236786,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,24.200000000000003,24.200000000000003
00-0026625,B.Hoyer,NE,2021,7,REG,3,4,79,0,0,0,-0,0,0,50,37,3,8.096038494230015,0,1.58,NA,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,2.8600000000000003,2.8600000000000003
00-0027061,J.Cook,LAC,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,8,56,0,0,0,67,26,3,4.15152113730521,0,0.835820895522388,0.17391304347826086,0.1810810810810811,0.38762632197414804,0,5.6000000000000005,10.600000000000001
00-0027061,J.Cook,LAC,2021,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,28,0,0,0,34,17,1,1.2792330539606542,0,0.8235294117647058,0.125,0.13127413127413126,0.2793918918918919,0,2.8000000000000003,5.800000000000001
